year,month,district,crime_type,crime_count
2023,4,Anurdhapura,Kidnapping,0
2023,5,Anurdhapura,Kidnapping,1
2023,6,Anurdhapura,Kidnapping,1
2023,7,Anurdhapura,Kidnapping,1
2023,8,Anurdhapura,Kidnapping,1
2023,9,Anurdhapura,Kidnapping,0
2023,10,Anurdhapura,Kidnapping,1
2023,11,Anurdhapura,Kidnapping,1
2023,12,Anurdhapura,Kidnapping,1
2023,1,Anurdhapura,Mischief > 50k,1
2023,2,Anurdhapura,Mischief > 50k,1
2023,3,Anurdhapura,Mischief > 50k,3
2023,4,Anurdhapura,Mischief > 50k,3
2023,5,Anurdhapura,Mischief > 50k,1
2023,6,Anurdhapura,Mischief > 50k,3
2023,7,Anurdhapura,Mischief > 50k,3
2023,8,Anurdhapura,Mischief > 50k,1
2023,9,Anurdhapura,Mischief > 50k,2
2023,10,Anurdhapura,Mischief > 50k,1
2023,11,Anurdhapura,Mischief > 50k,3
2023,12,Anurdhapura,Mischief > 50k,3
2023,1,Anurdhapura,Murder,1
2023,2,Anurdhapura,Murder,1
2023,3,Anurdhapura,Murder,2
2023,4,Anurdhapura,Murder,1
2023,5,Anurdhapura,Murder,2
2023,6,Anurdhapura,Murder,2
2023,7,Anurdhapura,Murder,2
2023,8,Anurdhapura,Murder,1
2023,9,Anurdhapura,Murder,1
2023,10,Anurdhapura,Murder,2
2023,11,Anurdhapura,Murder,2
2023,12,Anurdhapura,Murder,2
2023,1,Anurdhapura,Narcotic Drugs,9
2023,2,Anurdhapura,Narcotic Drugs,8
2023,3,Anurdhapura,Narcotic Drugs,8
2023,4,Anurdhapura,Narcotic Drugs,8
2023,5,Anurdhapura,Narcotic Drugs,9
2023,6,Anurdhapura,Narcotic Drugs,11
2023,7,Anurdhapura,Narcotic Drugs,11
2023,8,Anurdhapura,Narcotic Drugs,11
2023,9,Anurdhapura,Narcotic Drugs,10
2023,10,Anurdhapura,Narcotic Drugs,10
2023,11,Anurdhapura,Narcotic Drugs,12
2023,12,Anurdhapura,Narcotic Drugs,10
2023,1,Anurdhapura,Obstructing Police,1
2023,2,Anurdhapura,Obstructing Police,1
2023,3,Anurdhapura,Obstructing Police,1
2023,4,Anurdhapura,Obstructing Police,1
2023,5,Anurdhapura,Obstructing Police,1
2023,6,Anurdhapura,Obstructing Police,1
2023,7,Anurdhapura,Obstructing Police,2
2023,8,Anurdhapura,Obstructing Police,2
2023,9,Anurdhapura,Obstructing Police,1
2023,10,Anurdhapura,Obstructing Police,1
2023,11,Anurdhapura,Obstructing Police,1
2023,12,Anurdhapura,Obstructing Police,2
2023,1,Anurdhapura,Offences Against The State,0
2023,2,Anurdhapura,Offences Against The State,0
2023,3,Anurdhapura,Offences Against The State,0
2023,4,Anurdhapura,Offences Against The State,0
2023,5,Anurdhapura,Offences Against The State,0
